n beta gamma eps s sigma err
68 1.4 -0.05103283 1.59760479 2.08627961 0.59462828 0.55437796 4.0323121902039385e8
69 1.4 -0.12548567 1.76597583 2.03639032 0.59462828 0.55437796 1.1011340220705177e95
70 1.4 0.15683807 1.86707173 2.28589089 0.59816641 0.5577356 3.147264047691774e11
71 1.4 0.05362466 1.65544295 1.94499664 0.59776538 0.55184868 2.0450819504727437e9
72 1.4 0.12608152 1.37778483 1.73642499 0.59776538 0.55184868 6.16383038
73 1.4 0.32364983 2.28121075 3.0056507 0.5956178 0.54429815 1.19862388
74 1.4 0.26949759 1.63735683 2.22250951 0.59636296 0.54456528 0.27901826
75 1.4 0.25097503 1.20122752 1.51578023 0.59511084 0.54359862 9.772046900503184e21
76 1.4 0.1337826 0.83519181 1.10207659 0.60335809 0.54077606 1.1279498458802801e10
77 1.4 0.12856922 1.08220223 1.53715021 0.60636121 0.52696979 1.7933111461129403e23
78 1.4 -0.00291068 1.04128933 1.06463759 0.60636121 0.52696979 3.557795104144611e23
79 1.4 0.26058614 1.36866158 1.76018886 0.61430238 0.51891977 2.2882730359240857e58
80 1.4 0.26080901 1.34002292 1.76387809 0.60099123 0.51651534 3.5040770131547604e65
81 1.4 0.14892607 1.30008784 1.68190606 0.60051604 0.5196291 3.10046669
82 1.4 0.176948 0.89467311 0.93772157 0.59543044 0.51832812 2.8452474560531477e21
83 1.4 0.05542834 1.43764938 1.94482231 0.59543044 0.51832812 1.087699641542707e9
84 1.4 0.08511544 1.18697461 1.71454212 0.59543044 0.51832812 3.336781609657403e22
85 1.4 -0.23751971 0.99448112 1.30020112 0.59543044 0.51832812 274094.28754838
86 1.4 -0.00668539 1.20857416 1.86556809 0.59809842 0.51811447 9.844271888817518e43
87 1.4 0.29324897 1.36866547 2.02317087 0.59382311 0.5188526 5043.8297102
88 1.4 0.17635253 1.05081551 1.64478047 0.59095963 0.51008599 4.1163335630300325e25
89 1.4 0.17301458 1.70945031 2.6838137 0.59513762 0.50843469 3.2140561960271527e31
90 1.4 0.20249345 1.26556794 2.08809454 0.58755929 0.51010525 0.34831519
91 1.4 0.1228829 2.06865525 3.24910317 0.58104164 0.51462498 3.1580564872382474e22
92 1.4 0.15034093 1.96904895 3.08893957 0.57876885 0.51428598 1.9085290055857998e49
93 1.4 0.05667313 2.37760293 3.46495075 0.57562306 0.51938189 1.3970551816632754e13
94 1.4 0.11598957 2.10919569 3.18038489 0.57673998 0.51772982 4.229724540229987e39
95 1.4 0.14270531 1.97134862 2.90951599 0.57673998 0.51772982 1.7721687292778645e13
96 1.4 0.35088869 2.1768885 3.31277211 0.57673998 0.51772982 4.053781795185166e11
97 1.4 0.24435476 1.43534224 2.20727833 0.57673998 0.51772982 88.10919721
98 1.4 -0.00979194 2.34354518 3.52824133 0.57104505 0.52501628 0.78796982
99 1.4 0.02416024 2.06077063 3.14932278 0.58116034 0.52212163 4.4394217076081694e14
100 1.4 0.2668572 2.08804652 3.23405505 0.58116034 0.52212163 1.8106625146763289e24
